unified_id,original_id,product_name,sentiment,opinion,score,date,source_file
1,op001,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
2,op002,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
3,op003,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
4,op004,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
5,op005,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
6,op006,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
7,op007,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
8,op008,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
9,op009,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
10,op010,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
11,op011,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
12,op012,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
13,op013,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
14,op014,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
15,op015,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
16,op016,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
17,op017,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
18,op018,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
19,op019,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
20,op020,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
